y(keV/um)    e-           Hprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
1.6816e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
1.8868e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
2.1170e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
2.3753e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
2.6651e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
2.9903e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
3.3552e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
3.7646e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
4.2240e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
4.7394e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
5.3176e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
5.9665e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
6.6945e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
7.5114e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
8.4279e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
9.4563e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
