y(keV/um)    e-           Hprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
5.9665e+00   1.1033e-01   1.1825e-01   4.3788e-03   2.8667e-27   4.5593e-06   2.8535e-27   4.5607e-06   2.8408e-27   4.5609e-06   2.3295e-01   
6.6945e+00   9.1593e-02   1.0012e-01   4.2970e-03   2.8060e-27   4.5656e-06   2.8012e-27   4.5659e-06   2.8005e-27   4.5663e-06   1.9600e-01   
7.5114e+00   7.1074e-02   8.6404e-02   4.7939e-03   2.8113e-27   4.5749e-06   2.8170e-27   4.5751e-06   2.8224e-27   4.5752e-06   1.6226e-01   
8.4279e+00   5.3193e-02   7.6938e-02   3.9563e-03   2.8468e-27   4.5696e-06   2.8538e-27   4.5697e-06   2.8618e-27   4.5697e-06   1.3408e-01   
9.4563e+00   3.8630e-02   6.5529e-02   3.6110e-03   2.8915e-27   4.5684e-06   2.9044e-27   4.5685e-06   2.9190e-27   4.5685e-06   1.0776e-01   
1.0610e+01   2.6621e-02   5.3605e-02   3.3203e-03   2.9788e-27   4.5744e-06   3.0027e-27   4.5745e-06   3.0297e-27   4.5745e-06   8.3537e-02   
1.1905e+01   1.8018e-02   4.3469e-02   3.2972e-03   3.1348e-27   4.5747e-06   3.1567e-27   4.5748e-06   3.1800e-27   4.5748e-06   6.4775e-02   
1.3357e+01   1.4539e-02   4.2435e-02   2.8386e-03   3.2539e-27   4.5664e-06   3.2842e-27   4.5665e-06   3.3167e-27   4.5665e-06   5.9803e-02   
1.4987e+01   1.1783e-02   3.8059e-02   3.6308e-03   3.4330e-27   4.5728e-06   3.4756e-27   4.5729e-06   3.5212e-27   4.5729e-06   5.3464e-02   
1.6816e+01   9.0174e-03   3.3247e-02   2.4294e-03   1.5507e-04   4.5703e-06   3.7365e-27   4.5704e-06   3.8008e-27   4.5704e-06   4.4839e-02   
1.8868e+01   7.0963e-03   2.5529e-02   2.3978e-03   4.0155e-27   4.5629e-06   4.0996e-27   4.5630e-06   4.1895e-27   4.5630e-06   3.5014e-02   
2.1170e+01   5.7637e-03   2.9248e-02   2.2127e-03   1.6310e-04   4.5625e-06   4.6716e-27   4.5625e-06   4.7975e-27   4.5626e-06   3.7379e-02   
2.3753e+01   3.8056e-03   2.3165e-02   1.7115e-03   5.2008e-27   4.5487e-06   5.5117e-27   4.5488e-06   5.8428e-27   4.5489e-06   2.8673e-02   
2.6651e+01   3.6176e-03   2.5619e-02   1.6028e-03   1.4065e-04   4.5736e-06   7.1664e-27   4.5737e-06   7.3402e-27   4.5737e-06   3.0971e-02   
2.9903e+01   2.0353e-03   1.5483e-02   1.8867e-03   7.6629e-27   4.5658e-06   7.7050e-27   4.5658e-06   7.7135e-27   4.5659e-06   1.9396e-02   
3.3552e+01   1.9248e-03   1.9779e-02   2.5806e-03   8.1128e-04   4.5933e-06   7.4888e-27   4.5934e-06   7.3675e-27   4.5935e-06   2.5087e-02   
3.7646e+01   1.2774e-03   1.3630e-02   2.5755e-03   8.3958e-04   4.5697e-06   5.9560e-27   4.5697e-06   5.7967e-27   4.5698e-06   1.8313e-02   
4.2240e+01   5.2128e-04   1.1042e-02   3.7808e-04   1.0054e-03   4.5598e-06   5.2420e-27   4.5599e-06   5.1287e-27   4.5599e-06   1.2937e-02   
4.7394e+01   2.6070e-04   1.3519e-02   8.2889e-04   1.1974e-03   4.5578e-06   4.7470e-27   4.5579e-06   4.6680e-27   4.5580e-06   1.5797e-02   
5.3176e+01   3.4878e-04   9.9839e-03   1.0537e-03   1.5567e-03   4.5877e-06   4.3743e-27   4.5878e-06   4.2721e-27   4.5880e-06   1.2934e-02   
5.9665e+01   3.9197e-04   1.0173e-02   5.1181e-04   1.2943e-03   4.5523e-06   3.9369e-27   4.5525e-06   3.8545e-27   4.5527e-06   1.2362e-02   
6.6945e+01   2.1797e-04   6.0485e-03   6.0323e-04   1.5824e-03   4.5470e-06   3.6651e-27   4.5471e-06   3.6335e-27   4.5474e-06   8.4430e-03   
7.5114e+01   6.8428e-04   4.0276e-03   2.0051e-04   3.8932e-03   4.5408e-06   3.4482e-27   4.5411e-06   3.4031e-27   4.5415e-06   8.7965e-03   
8.4279e+01   3.3330e-04   4.5522e-03   7.8519e-04   1.9306e-03   4.5849e-06   3.3016e-27   4.5854e-06   3.2772e-27   4.5859e-06   7.5922e-03   
9.4563e+01   7.8274e-04   9.3583e-03   5.8734e-05   4.3270e-03   4.5703e-06   3.2073e-27   4.5704e-06   8.1581e-04   4.5705e-06   1.5333e-02   
1.0610e+02   1.2181e-04   1.0419e-02   1.6523e-05   1.8607e-03   4.5211e-06   3.1948e-27   4.5211e-06   9.7276e-04   4.5211e-06   1.3381e-02   
1.1905e+02   3.7837e-04   2.0778e-03   1.4419e-03   5.7062e-03   4.5965e-06   3.3606e-27   4.5965e-06   1.1292e-03   4.5965e-06   1.0724e-02   
1.3357e+02   2.4557e-04   1.1709e-06   4.7645e-06   4.5712e-03   4.7645e-06   3.6807e-27   4.7645e-06   3.7415e-27   4.7645e-06   4.8131e-03   
1.4987e+02   2.9206e-04   8.8258e-06   4.4535e-06   3.6976e-03   4.4535e-06   3.6515e-27   4.4535e-06   1.3802e-03   1.3807e-03   6.7505e-03   
1.6816e+02   4.8277e-05   3.7576e-27   6.9624e-05   1.4057e-03   4.3893e-06   3.8877e-27   4.3893e-06   4.0342e-27   4.3893e-06   1.5148e-03   
1.8868e+02   2.5896e-05   2.8628e-05   1.2142e-05   1.7116e-03   4.6358e-06   4.6452e-27   4.6358e-06   1.6304e-03   4.6358e-06   3.3994e-03   
2.1170e+02   4.4991e-06   4.5840e-27   5.3412e-06   4.5809e-27   4.4991e-06   4.5616e-27   4.4991e-06   4.5262e-27   1.9107e-03   1.9071e-03   
2.3753e+02   4.0371e-05   4.5300e-27   3.8330e-05   2.0747e-03   4.6127e-06   4.2288e-27   4.6127e-06   2.1354e-03   4.6127e-06   4.2796e-03   
2.6651e+02   4.7497e-06   4.0944e-27   4.7497e-06   4.0403e-27   4.7497e-06   3.9902e-27   4.7497e-06   2.4009e-03   4.7497e-06   2.4009e-03   
2.9903e+02   6.7586e-05   3.5874e-27   2.1564e-05   2.6136e-03   4.4878e-06   3.4894e-27   4.4878e-06   3.4516e-27   4.4878e-06   2.6938e-03   
3.3552e+02   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
3.7646e+02   4.3223e-06   1.7457e-06   4.3223e-06   3.0925e-27   4.3223e-06   3.0757e-27   4.3224e-06   3.3896e-03   4.3224e-06   3.3913e-03   
4.2240e+02   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
4.7394e+02   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
5.3176e+02   4.5990e-06   1.9701e-06   4.7097e-05   3.1347e-27   4.6033e-06   3.1312e-27   4.7505e-03   3.1314e-27   4.6069e-06   4.7904e-03   
5.9665e+02   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
6.6945e+02   4.3853e-06   2.9962e-27   4.3855e-06   3.0078e-27   4.3856e-06   3.0224e-27   4.3857e-06   6.0307e-03   4.3858e-06   6.0307e-03   
7.5114e+02   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
8.4279e+02   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
9.4563e+02   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
1.0610e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
1.1905e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
1.3357e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
1.4987e+03   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   -nan   0.0000e+00   
